23.564625307718668,87.28246499041616,03/31/2016 10:26:45,BusStop_1+
23.562979476178047,87.27975579394652,03/31/2016 10:30:44,BusStop_2+
23.562759273880154,87.27929027485966,03/31/2016 10:31:15,BusStop_3+
23.55996469391602,87.27664350737096,03/31/2016 10:33:28,BusStop_4+
23.5582182484748,87.27529818443668,03/31/2016 10:34:34,BusStop_5+
23.557536541536606,87.27483632752033,03/31/2016 10:35:08,BusStop_6+
23.55548547568083,87.27359134679175,03/31/2016 10:36:04,BusStop_7+
23.549972612886776,87.27013516329377,03/31/2016 10:38:46,BusStop_8+
23.550598991178962,87.26863661593168,03/31/2016 10:40:22,BusStop_9+
23.55342650583101,87.26411076540886,03/31/2016 10:41:41,BusStop_10+
23.561346114446888,87.25335548529408,03/31/2016 10:44:02,BusStop_11+
23.563833961590447,87.24988260794028,03/31/2016 10:45:06,BusStop_12+
23.569499559812673,87.24226174971254,03/31/2016 10:46:58,BusStop_13+
23.57343986863211,87.23696991013335,03/31/2016 10:48:10,BusStop_14+
23.57589876944344,87.23333880455155,03/31/2016 10:49:09,BusStop_15+
23.5803901374041,87.2274964561464,03/31/2016 10:50:33,BusStop_16+
23.582306916045017,87.2249011185959,03/31/2016 10:51:15,BusStop_17+
23.58648457101299,87.21507897172252,03/31/2016 10:52:49,BusStop_18+
23.589942612413985,87.20551891820398,03/31/2016 10:54:31,BusStop_19+
23.590540426574663,87.20604618961511,03/31/2016 10:56:05,BusStop_20+
23.59308687565021,87.20828767092323,03/31/2016 11:03:30,BusStop_21+
23.61093292676116,87.21755519502247,03/31/2016 11:07:33,BusStop_22+
23.614383356908764,87.21761746429962,03/31/2016 11:08:47,BusStop_23+
23.61532228579173,87.21761919359001,03/31/2016 11:09:12,BusStop_24+
23.617897288961025,87.21753915801673,03/31/2016 11:10:25,BusStop_25+
23.62760647185011,87.22197488850162,03/31/2016 11:14:11,BusStop_26+
23.64075092806108,87.226561553932,03/31/2016 11:17:20,BusStop_27+
23.648372001519917,87.22777827221971,03/31/2016 11:19:59,BusStop_28+
23.65144849031507,87.23161135899781,03/31/2016 11:21:33,BusStop_29+
23.65227649207433,87.23255946508787,03/31/2016 11:22:05,BusStop_30+
23.652725785542085,87.23317194998042,03/31/2016 11:22:30,BusStop_31+
23.653069094814228,87.23549296777973,03/31/2016 11:23:23,BusStop_32+
23.653338065162202,87.23807155683969,03/31/2016 11:25:17,BusStop_33+
23.653514615799235,87.2400437018146,03/31/2016 11:26:27,BusStop_34+
23.653514615799235,87.2400437018146,03/31/2016 11:26:35,BusStop_34+Junction_1+
23.653041344090244,87.24217675812197,03/31/2016 11:27:43,BusStop_35+
23.652353092383297,87.24312459433976,03/31/2016 11:28:27,BusStop_36+
