lat,long,time
23.5282616667,87.3111316667,14:52:05
23.5282333333,87.3111366667,14:52:06
23.5281916667,87.3111416667,14:52:07
23.5281433333,87.311145,14:52:08
23.528095,87.3111466667,14:52:09
23.5280466667,87.3111483333,14:52:10
23.528,87.311145,14:52:11
23.5279516667,87.3111383333,14:52:12
23.5279033333,87.3111333333,14:52:13
23.5278533333,87.3111283333,14:52:14
23.5278033333,87.31113,14:52:15
23.5277533333,87.3111316667,14:52:16
23.5277033333,87.3111333333,14:52:17
23.5276533333,87.3111366667,14:52:18
23.5276033333,87.31114,14:52:19
23.5275583333,87.3111416667,14:52:20
23.5275166667,87.3111433333,14:52:21
23.52748,87.3111433333,14:52:22
23.5274466667,87.311145,14:52:23
23.52742,87.3111483333,14:52:24
23.5273983333,87.31115,14:52:25
23.5273833333,87.3111516667,14:52:26
23.527375,87.3111516667,14:52:27
23.52737,87.3111533333,14:52:28
23.52737,87.3111533333,14:52:29
23.5273716667,87.3111516667,14:52:30
23.5273716667,87.3111516667,14:52:31
23.5273716667,87.3111516667,14:52:32
23.5273716667,87.3111516667,14:52:33
23.5273716667,87.3111516667,14:52:34
23.5273716667,87.3111516667,14:52:35
23.5273716667,87.3111516667,14:52:36
23.5273716667,87.3111516667,14:52:37
23.5273716667,87.3111516667,14:52:38
23.5273716667,87.3111516667,14:52:39
23.5273716667,87.3111516667,14:52:40
23.5273716667,87.3111516667,14:52:41
23.5273716667,87.3111516667,14:52:42
23.5273716667,87.3111516667,14:52:43
23.5273716667,87.3111516667,14:52:44
23.5273716667,87.3111516667,14:52:45
23.5273716667,87.3111516667,14:52:46
23.5273716667,87.3111516667,14:52:47
23.5273716667,87.3111516667,14:52:48
23.5273716667,87.3111516667,14:52:49
23.5273716667,87.3111516667,14:52:50
23.5273716667,87.3111516667,14:52:51
23.5273716667,87.3111516667,14:52:52
23.5273716667,87.3111516667,14:52:53
23.5273716667,87.3111516667,14:52:54
23.5273716667,87.3111516667,14:52:55
23.5273716667,87.3111516667,14:52:56
23.5273716667,87.3111516667,14:52:57
23.5273716667,87.3111516667,14:52:58
23.5273716667,87.3111516667,14:52:59
23.5273716667,87.3111516667,14:53:00
23.5273716667,87.3111516667,14:53:01
23.5273716667,87.3111516667,14:53:02
23.5273716667,87.3111516667,14:53:03
23.5273716667,87.3111516667,14:53:04
23.5273716667,87.3111516667,14:53:05
23.5273716667,87.3111516667,14:53:06
23.5273716667,87.3111516667,14:53:07
