lat,long,time
23.528445,87.3109783333,14:24:20
23.5283983333,87.31104,14:24:21
23.5283516667,87.31109,14:24:22
23.528305,87.311125,14:24:23
23.5282633333,87.3111433333,14:24:24
23.5282283333,87.3111466667,14:24:25
23.5282016667,87.311145,14:24:26
23.5281866667,87.31114,14:24:27
23.52818,87.311135,14:24:28
23.5281783333,87.3111283333,14:24:29
23.5281766667,87.311125,14:24:30
23.528175,87.31112,14:24:31
23.528175,87.31112,14:24:32
23.528175,87.31112,14:24:33
23.528175,87.31112,14:24:34
23.528175,87.31112,14:24:35
23.528175,87.31112,14:24:36
23.528175,87.31112,14:24:37
23.528175,87.31112,14:24:38
23.528175,87.31112,14:24:39
23.528175,87.31112,14:24:40
23.528175,87.31112,14:24:41
23.5281666667,87.3111183333,14:24:42
23.5281416667,87.311115,14:24:43
23.5281083333,87.3111133333,14:24:44
23.52807,87.3111133333,14:24:45
23.5280316667,87.3111133333,14:24:46
23.5279883333,87.3111133333,14:24:47
23.52794,87.3111116667,14:24:48
23.5278866667,87.31111,14:24:49
23.52783,87.3111083333,14:24:50
23.52777,87.3111083333,14:24:51
23.52771,87.3111116667,14:24:52
23.5276483333,87.311115,14:24:53
23.52759,87.3111166667,14:24:54
23.5275316667,87.3111183333,14:24:55
23.527475,87.3111216667,14:24:56
23.52742,87.3111233333,14:24:57
23.5273683333,87.3111266667,14:24:58
23.527325,87.3111266667,14:24:59
23.527285,87.3111283333,14:25:00
23.5272533333,87.31113,14:25:01
23.5272266667,87.3111316667,14:25:02
23.5272083333,87.3111333333,14:25:03
23.5271966667,87.311135,14:25:04
23.5271916667,87.3111366667,14:25:05
23.5271916667,87.3111366667,14:25:06
23.5271916667,87.3111366667,14:25:07
23.5271916667,87.3111366667,14:25:08
23.5271933333,87.3111366667,14:25:09
23.5271933333,87.3111366667,14:25:10
23.5271933333,87.3111366667,14:25:11
23.5271933333,87.3111366667,14:25:12
23.5271933333,87.3111366667,14:25:13
23.5271933333,87.3111366667,14:25:14
23.5271933333,87.3111366667,14:25:15
23.5271933333,87.3111366667,14:25:16
23.5271833333,87.3111366667,14:25:17
23.5271583333,87.3111383333,14:25:18
23.5271283333,87.31114,14:25:19
23.5270916667,87.3111433333,14:25:20
23.5270516667,87.3111466667,14:25:21
23.5270066667,87.3111483333,14:25:22
23.52696,87.3111516667,14:25:23
23.5269116667,87.3111516667,14:25:24
23.5268583333,87.3111533333,14:25:25
23.5268016667,87.3111566667,14:25:26
23.5267383333,87.3111583333,14:25:27
23.5266716667,87.31116,14:25:28
23.526605,87.3111633333,14:25:29
23.5265366667,87.311165,14:25:30
23.5264666667,87.311165,14:25:31
23.526395,87.3111633333,14:25:32
23.5263216667,87.3111616667,14:25:33
23.526245,87.3111633333,14:25:34
23.52617,87.3111633333,14:25:35
23.5260916667,87.3111616667,14:25:36
23.526015,87.31116,14:25:37
23.5259366667,87.31116,14:25:38
23.5258583333,87.31116,14:25:39
23.52578,87.31116,14:25:40
23.5257,87.3111633333,14:25:41
23.52562,87.3111666667,14:25:42
23.5255383333,87.3111716667,14:25:43
23.525455,87.3111783333,14:25:44
23.5253733333,87.3111866667,14:25:45
23.52529,87.311195,14:25:46
23.5252083333,87.3112033333,14:25:47
23.525125,87.311215,14:25:48
23.5250433333,87.3112266667,14:25:49
23.5249583333,87.3112383333,14:25:50
23.5248733333,87.3112533333,14:25:51
23.5247866667,87.3112683333,14:25:52
23.5247016667,87.311285,14:25:53
23.5246133333,87.3113033333,14:25:54
23.5245233333,87.3113233333,14:25:55
23.52443,87.311345,14:25:56
23.524335,87.3113666667,14:25:57
23.5242383333,87.31139,14:25:58
23.5241383333,87.31141,14:25:59
23.5240366667,87.31143,14:26:00
23.5239316667,87.31145,14:26:01
23.5238266667,87.31147,14:26:02
23.5237216667,87.31149,14:26:03
23.5236133333,87.3115116667,14:26:04
23.5235066667,87.311535,14:26:05
23.5233983333,87.31156,14:26:06
23.52329,87.3115833333,14:26:07
23.5231833333,87.3116066667,14:26:08
23.5230766667,87.311625,14:26:09
23.5229683333,87.3116433333,14:26:10
23.5228616667,87.311655,14:26:11
23.5227516667,87.31166,14:26:12
23.5226433333,87.3116583333,14:26:13
23.5225333333,87.3116516667,14:26:14
23.5224233333,87.3116433333,14:26:15
23.522315,87.31163,14:26:16
23.5222066667,87.311615,14:26:17
23.5221016667,87.3115983333,14:26:18
23.5219966667,87.3115816667,14:26:19
23.5218916667,87.3115666667,14:26:20
23.5217866667,87.3115516667,14:26:21
23.5216816667,87.3115366667,14:26:22
23.521575,87.3115216667,14:26:23
23.5214716667,87.311505,14:26:24
23.5213666667,87.3114866667,14:26:25
23.5212633333,87.31147,14:26:26
23.52116,87.3114533333,14:26:27
23.5210566667,87.3114366667,14:26:28
23.5209533333,87.3114183333,14:26:29
23.5208533333,87.3114033333,14:26:30
23.5207516667,87.3113883333,14:26:31
23.5206533333,87.3113733333,14:26:32
23.5205566667,87.3113583333,14:26:33
23.5204583333,87.311345,14:26:34
23.52036,87.31133,14:26:35
23.5202616667,87.3113166667,14:26:36
23.520165,87.311305,14:26:37
