lat,long,color
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.56438,87.282995,1
23.5643816667,87.2829883333,1
23.5643816667,87.2829883333,1
23.564385,87.28298,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.2829766667,1
23.564385,87.282975,1
23.564385,87.282975,1
23.564385,87.282975,1
23.564385,87.282975,1
23.564385,87.282975,1
23.564385,87.282975,1
23.564385,87.282975,1
23.564385,87.282975,1
23.564385,87.282975,1
23.564385,87.282975,1
23.564385,87.282975,1
23.564385,87.282975,1
23.564385,87.282975,1
23.564385,87.282975,1
23.564385,87.282975,1
23.564385,87.282975,1
23.564385,87.282975,1
23.564385,87.282975,1
23.564385,87.282975,1
23.564385,87.282975,1
23.564385,87.282975,1
23.564385,87.282975,1
23.564385,87.282975,1
23.564385,87.282975,1
23.564385,87.282975,1
23.564385,87.282975,1
23.564385,87.282975,1
23.564385,87.282975,1
23.564385,87.282975,1
23.564385,87.282975,1
23.564385,87.282975,1
23.5643866667,87.282975,1
23.5643866667,87.282975,1
23.5643866667,87.282975,1
23.5643866667,87.282975,1
23.5643866667,87.2829733333,1
23.5643866667,87.2829733333,1
23.5643866667,87.2829733333,1
23.5643866667,87.2829733333,1
23.5643866667,87.2829733333,1
23.5643866667,87.2829733333,1
23.5643866667,87.2829733333,1
23.5643866667,87.2829733333,1
23.5643866667,87.2829733333,1
23.5643866667,87.2829733333,1
23.5643866667,87.2829733333,1
23.5643866667,87.2829733333,1
23.5643866667,87.2829733333,1
23.5643866667,87.2829733333,1
23.5643866667,87.2829733333,1
23.5643866667,87.2829733333,1
23.5643866667,87.2829733333,1
23.5643866667,87.2829733333,1
23.5643866667,87.2829733333,1
23.5643883333,87.2829733333,1
23.5643883333,87.2829733333,1
23.5643883333,87.2829733333,1
23.5643883333,87.2829733333,1
23.5643883333,87.2829733333,1
23.5643883333,87.2829733333,1
23.5643883333,87.2829733333,1
23.5643883333,87.2829733333,1
23.5643883333,87.2829733333,1
23.5643883333,87.2829733333,1
23.5643883333,87.2829733333,1
23.5643883333,87.2829733333,1
23.5643883333,87.2829733333,1
23.5643883333,87.2829733333,1
23.5643883333,87.2829733333,1
23.5643883333,87.2829733333,1
23.5643883333,87.2829733333,1
23.5643883333,87.2829733333,1
23.5643883333,87.2829733333,1
23.5643883333,87.2829733333,1
23.5643883333,87.2829733333,1
23.5643883333,87.2829733333,1
23.5643883333,87.2829716667,1
23.5643883333,87.2829716667,1
23.5643883333,87.2829716667,1
23.5643883333,87.2829716667,1
23.5643883333,87.2829716667,1
23.5643883333,87.2829716667,1
23.5643883333,87.2829716667,1
23.5643883333,87.2829716667,1
23.5643883333,87.2829716667,1
23.5643883333,87.2829716667,1
23.5643883333,87.2829716667,1
23.5643883333,87.2829716667,1
23.5643883333,87.2829716667,1
23.5643883333,87.2829716667,1
23.5643883333,87.2829716667,1
23.56439,87.2829716667,1
23.56439,87.2829716667,1
23.56439,87.2829716667,1
23.56439,87.2829716667,1
23.56439,87.2829716667,1
23.56439,87.2829716667,1
23.56439,87.2829716667,1
23.56439,87.2829716667,1
23.56439,87.2829716667,1
23.56439,87.2829716667,1
23.56439,87.2829716667,1
23.56439,87.2829716667,1
23.56439,87.2829716667,1
23.56439,87.2829716667,1
23.56439,87.2829716667,1
23.56439,87.2829716667,1
23.56439,87.2829716667,1
23.56439,87.2829716667,1
23.56439,87.2829716667,1
23.56439,87.2829716667,1
23.56439,87.2829716667,1
23.56439,87.2829716667,1
