lat,long,time
23.5857866667,87.2170566667,13:37:07
23.5858433333,87.2168933333,13:37:08
23.5859,87.2167316667,13:37:09
23.5859566667,87.2165683333,13:37:10
23.5860133333,87.216405,13:37:11
23.5860716667,87.2162433333,13:37:12
23.5861283333,87.21608,13:37:13
23.5861883333,87.2159166667,13:37:14
23.5862466667,87.215755,13:37:15
23.5863033333,87.2155916667,13:37:16
23.5863633333,87.2154283333,13:37:17
23.5864216667,87.2152666667,13:37:18
23.5864816667,87.2150866667,13:37:19
23.5865433333,87.214925,13:37:20
23.5866,87.2147616667,13:37:21
23.5866566667,87.2145983333,13:37:22
23.5867133333,87.2144366667,13:37:23
23.58677,87.2142733333,13:37:24
23.5868283333,87.21411,13:37:25
23.58688,87.2139633333,13:37:26
23.5869333333,87.2138016667,13:37:27
23.5869866667,87.213655,13:37:28
23.58704,87.2135083333,13:37:29
23.5870916667,87.2133616667,13:37:30
23.5871416667,87.213215,13:37:31
23.5871933333,87.2130683333,13:37:32
23.5872466667,87.2129216667,13:37:33
23.587295,87.2127916667,13:37:34
23.587345,87.212645,13:37:35
23.58739,87.212515,13:37:36
23.5874333333,87.212385,13:37:37
23.5874783333,87.2122383333,13:37:38
23.5875283333,87.2121083333,13:37:39
23.5875716667,87.2119783333,13:37:40
23.5876216667,87.2118483333,13:37:41
23.5876666667,87.2117183333,13:37:42
23.58771,87.2115883333,13:37:43
23.587755,87.2114583333,13:37:44
23.5877966667,87.2113266667,13:37:45
23.5878416667,87.2111966667,13:37:46
23.5878816667,87.2110833333,13:37:47
23.5879216667,87.21097,13:37:48
23.5879633333,87.210855,13:37:49
23.5880033333,87.2107416667,13:37:50
23.588045,87.2106266667,13:37:51
23.5880816667,87.2105133333,13:37:52
23.5881216667,87.2104166667,13:37:53
23.5881616667,87.2103016667,13:37:54
23.5882033333,87.210205,13:37:55
23.5882483333,87.21009,13:37:56
23.5882883333,87.2099766667,13:37:57
23.58833,87.2098783333,13:37:58
23.5883666667,87.209765,13:37:59
23.5884016667,87.2096666667,13:38:00
23.5884433333,87.2095533333,13:38:01
23.58848,87.209455,13:38:02
23.5885166667,87.2093416667,13:38:03
23.5885533333,87.2092283333,13:38:04
23.58859,87.20913,13:38:05
23.5886216667,87.2090166667,13:38:06
23.5886583333,87.2089183333,13:38:07
23.5886916667,87.208805,13:38:08
23.5887316667,87.2087066667,13:38:09
23.5887683333,87.20861,13:38:10
23.588805,87.2085116667,13:38:11
23.5888416667,87.2084133333,13:38:12
23.588875,87.2083166667,13:38:13
23.5889066667,87.208235,13:38:14
23.58894,87.2081366667,13:38:15
23.5889716667,87.208055,13:38:16
23.589,87.207975,13:38:17
23.589025,87.2078933333,13:38:18
23.589045,87.207795,13:38:19
23.5890583333,87.20773,13:38:20
23.5890783333,87.2076483333,13:38:21
23.5891016667,87.2075833333,13:38:22
23.5891266667,87.2075016667,13:38:23
23.589155,87.2074366667,13:38:24
23.5891833333,87.2073716667,13:38:25
23.5892116667,87.2072916667,13:38:26
23.589245,87.207225,13:38:27
23.5892766667,87.207145,13:38:28
23.589305,87.2070633333,13:38:29
23.5893383333,87.2069816667,13:38:30
23.5893716667,87.2069,13:38:31
23.5894,87.2068183333,13:38:32
23.5894233333,87.2067533333,13:38:33
23.5894516667,87.2066566667,13:38:34
23.589485,87.206575,13:38:35
23.5895166667,87.2064933333,13:38:36
23.5895533333,87.2064116667,13:38:37
23.58959,87.20633,13:38:38
23.5896183333,87.20625,13:38:39
23.5896516667,87.2061683333,13:38:40
23.58968,87.2061033333,13:38:41
23.589705,87.2060383333,13:38:42
23.5897283333,87.2059716667,13:38:43
23.58975,87.2059233333,13:38:44
23.589765,87.205875,13:38:45
23.5897816667,87.2058416667,13:38:46
23.58979,87.20581,13:38:47
23.5897933333,87.20581,13:38:48
23.5897933333,87.20581,13:38:49
23.5897933333,87.20581,13:38:50
23.5897933333,87.20581,13:38:51
23.5897933333,87.20581,13:38:52
23.5897933333,87.20581,13:38:53
23.5897933333,87.20581,13:38:54
23.5897933333,87.20581,13:38:55
23.5897933333,87.20581,13:38:56
23.5897933333,87.20581,13:38:57
23.5897933333,87.20581,13:38:58
23.5897933333,87.20581,13:38:59
23.5897933333,87.20581,13:39:00
23.5897933333,87.20581,13:39:01
23.5897933333,87.20581,13:39:02
23.5897933333,87.20581,13:39:03
23.5897933333,87.20581,13:39:04
23.5897983333,87.2057933333,13:39:05
23.5898016667,87.2057766667,13:39:06
23.589815,87.2057616667,13:39:07
23.5898233333,87.205745,13:39:08
23.5898266667,87.2057283333,13:39:09
23.5898266667,87.2057116667,13:39:10
23.58983,87.2057116667,13:39:11
23.58983,87.2057116667,13:39:12
23.589835,87.205695,13:39:13
23.5898383333,87.20568,13:39:14
23.5898466667,87.2056633333,13:39:15
23.589855,87.20563,13:39:16
23.5898666667,87.205615,13:39:17
23.58988,87.205615,13:39:18
23.589895,87.2055983333,13:39:19
23.58992,87.2055983333,13:39:20
23.589945,87.2055816667,13:39:21
23.5899683333,87.2055983333,13:39:22
23.5899933333,87.2055983333,13:39:23
23.59001,87.2055983333,13:39:24
23.59003,87.205615,13:39:25
23.5900416667,87.205615,13:39:26
23.5900583333,87.20563,13:39:27
23.59007,87.2056466667,13:39:28
23.5900866667,87.2056633333,13:39:29
23.5901,87.20568,13:39:30
23.59012,87.205695,13:39:31
23.59014,87.2057116667,13:39:32
23.59016,87.2057283333,13:39:33
23.59018,87.205745,13:39:34
23.5902016667,87.2057766667,13:39:35
23.590225,87.2057933333,13:39:36
23.590245,87.20581,13:39:37
23.5902616667,87.2058416667,13:39:38
23.5902816667,87.2058583333,13:39:39
23.5903066667,87.2058916667,13:39:40
23.5903316667,87.2059066667,13:39:41
23.59036,87.20594,13:39:42
23.5903916667,87.2059716667,13:39:43
23.5904283333,87.2059883333,13:39:44
23.5904566667,87.2060216667,13:39:45
23.590485,87.2060383333,13:39:46
23.5905183333,87.20607,13:39:47
23.5905516667,87.2060866667,13:39:48
23.5905716667,87.2061033333,13:39:49
23.5905883333,87.2061183333,13:39:50
23.5906,87.206135,13:39:51
23.5906033333,87.206135,13:39:52
23.5906033333,87.206135,13:39:53
23.5906033333,87.206135,13:39:54
23.5906033333,87.206135,13:39:55
23.5906033333,87.206135,13:39:56
23.5906033333,87.206135,13:39:57
23.5906033333,87.206135,13:39:58
23.5906033333,87.206135,13:39:59
23.5906033333,87.206135,13:40:00
23.5906033333,87.206135,13:40:01
23.5906033333,87.206135,13:40:02
23.5906033333,87.206135,13:40:03
23.5906033333,87.206135,13:40:04
23.5906033333,87.206135,13:40:05
23.5906033333,87.206135,13:40:06
23.5906033333,87.206135,13:40:07
23.5906033333,87.206135,13:40:08
23.5906033333,87.206135,13:40:09
23.5906033333,87.206135,13:40:10
23.5906033333,87.206135,13:40:11
23.5906033333,87.206135,13:40:12
23.5906033333,87.206135,13:40:13
23.5906033333,87.206135,13:40:14
23.5906033333,87.206135,13:40:15
23.5906033333,87.206135,13:40:16
23.5906033333,87.206135,13:40:17
23.5906033333,87.206135,13:40:18
23.5906033333,87.206135,13:40:19
23.5906033333,87.206135,13:40:20
23.5906033333,87.206135,13:40:21
23.5906033333,87.206135,13:40:22
23.5906033333,87.206135,13:40:23
23.5906033333,87.206135,13:40:24
23.5906033333,87.206135,13:40:25
23.5906033333,87.206135,13:40:26
23.5906033333,87.206135,13:40:27
23.5906033333,87.206135,13:40:28
23.5906033333,87.206135,13:40:29
23.5906033333,87.206135,13:40:30
23.5906033333,87.206135,13:40:31
23.5906033333,87.206135,13:40:32
23.5906033333,87.206135,13:40:33
23.5906033333,87.206135,13:40:34
23.5906033333,87.206135,13:40:35
23.5906033333,87.206135,13:40:36
23.5906033333,87.206135,13:40:37
23.5906033333,87.206135,13:40:38
23.5906033333,87.206135,13:40:39
23.5906033333,87.206135,13:40:40
23.5906033333,87.206135,13:40:41
23.5906033333,87.206135,13:40:42
23.5906033333,87.206135,13:40:43
23.5906033333,87.206135,13:40:44
23.5906033333,87.206135,13:40:45
23.5906033333,87.206135,13:40:46
23.5906033333,87.206135,13:40:47
23.5906033333,87.206135,13:40:48
23.5906033333,87.206135,13:40:49
23.5906033333,87.206135,13:40:50
23.5906033333,87.206135,13:40:51
23.5906033333,87.206135,13:40:52
23.5906033333,87.206135,13:40:53
23.5906033333,87.206135,13:40:54
23.5906033333,87.206135,13:40:55
23.5906033333,87.206135,13:40:56
23.5906033333,87.206135,13:40:57
23.5906033333,87.206135,13:40:58
23.5906033333,87.206135,13:40:59
23.5906033333,87.206135,13:41:00
23.5906033333,87.206135,13:41:01
23.5906033333,87.206135,13:41:02
23.5906033333,87.206135,13:41:03
23.5906033333,87.206135,13:41:04
23.5906033333,87.206135,13:41:05
23.5906033333,87.206135,13:41:06
23.5906033333,87.206135,13:41:07
23.5906033333,87.206135,13:41:08
23.5906033333,87.206135,13:41:09
23.5906033333,87.206135,13:41:10
23.5906033333,87.206135,13:41:11
23.5906033333,87.206135,13:41:12
23.5906033333,87.206135,13:41:13
23.5906033333,87.206135,13:41:14
23.5906033333,87.206135,13:41:15
23.5906033333,87.206135,13:41:16
23.5906033333,87.206135,13:41:17
23.5906033333,87.206135,13:41:18
23.5906033333,87.206135,13:41:19
23.5906033333,87.206135,13:41:20
23.5906033333,87.206135,13:41:21
23.5906033333,87.206135,13:41:22
23.5906033333,87.206135,13:41:23
23.5906033333,87.206135,13:41:24
23.5906033333,87.206135,13:41:25
23.5906033333,87.206135,13:41:26
23.5906033333,87.206135,13:41:27
23.5906033333,87.206135,13:41:28
23.5906033333,87.206135,13:41:29
23.5906033333,87.206135,13:41:30
23.5906033333,87.206135,13:41:31
23.5906033333,87.206135,13:41:32
23.5906033333,87.206135,13:41:33
23.5906033333,87.206135,13:41:34
23.5906033333,87.206135,13:41:35
23.5906033333,87.206135,13:41:36
23.5906033333,87.206135,13:41:37
23.5906033333,87.206135,13:41:38
23.5906033333,87.206135,13:41:39
23.5906033333,87.206135,13:41:40
23.5906033333,87.206135,13:41:41
23.5906033333,87.206135,13:41:42
23.5906033333,87.206135,13:41:43
23.5906033333,87.206135,13:41:44
23.5906033333,87.206135,13:41:45
