lat,long,time
23.5857816667,87.217105,15:53:28
23.5858233333,87.2169916667,15:53:29
23.5858666667,87.2168616667,15:53:30
23.5859083333,87.2167466667,15:53:31
23.5859533333,87.2166166667,15:53:32
23.5859983333,87.2165033333,15:53:33
23.5860383333,87.2163733333,15:53:34
23.5860833333,87.2162583333,15:53:35
23.5861283333,87.2161283333,15:53:36
23.5861733333,87.2159983333,15:53:37
23.5862166667,87.2158683333,15:53:38
23.5862616667,87.2157383333,15:53:39
23.5863066667,87.2156083333,15:53:40
23.5863516667,87.2154783333,15:53:41
23.5863966667,87.2153316667,15:53:42
23.586445,87.2152016667,15:53:43
23.5864933333,87.215055,15:53:44
23.5865466667,87.214925,15:53:45
23.5865966667,87.2147783333,15:53:46
23.5866483333,87.2146316667,15:53:47
23.5867016667,87.214485,15:53:48
23.586755,87.2143383333,15:53:49
23.5868066667,87.2142083333,15:53:50
23.586865,87.214045,15:53:51
23.5869166667,87.2138983333,15:53:52
23.58697,87.2137516667,15:53:53
23.5870183333,87.2136066667,15:53:54
23.5870716667,87.2134433333,15:53:55
23.587125,87.2132966667,15:53:56
23.5871816667,87.21315,15:53:57
23.5872383333,87.2129866667,15:53:58
23.587295,87.2128416667,15:53:59
23.5873533333,87.2126783333,15:54:00
23.58741,87.212515,15:54:01
23.5874633333,87.2123683333,15:54:02
23.587515,87.2122066667,15:54:03
23.5875716667,87.2120433333,15:54:04
23.58763,87.2118966667,15:54:05
23.5876816667,87.211735,15:54:06
23.58774,87.2115716667,15:54:07
23.5877966667,87.2114083333,15:54:08
23.5878566667,87.21123,15:54:09
23.587915,87.2110666667,15:54:10
23.5879716667,87.2109033333,15:54:11
23.5880316667,87.2107416667,15:54:12
23.58809,87.2105616667,15:54:13
23.5881466667,87.2104,15:54:14
23.5881983333,87.2102533333,15:54:15
23.5882566667,87.2101066667,15:54:16
23.588305,87.20996,15:54:17
23.5883583333,87.2098133333,15:54:18
23.5884066667,87.2096833333,15:54:19
23.588455,87.2095533333,15:54:20
23.588505,87.2094066667,15:54:21
23.5885533333,87.2092766667,15:54:22
23.5886016667,87.2091466667,15:54:23
23.58865,87.209,15:54:24
23.5887,87.20887,15:54:25
23.588745,87.20874,15:54:26
23.5887933333,87.20861,15:54:27
23.5888416667,87.2084783333,15:54:28
23.58889,87.2083483333,15:54:29
23.588935,87.208235,15:54:30
23.5889766667,87.208105,15:54:31
23.5890133333,87.20799,15:54:32
23.5890416667,87.2078766667,15:54:33
23.589065,87.2077466667,15:54:34
23.589095,87.2076333333,15:54:35
23.5891266667,87.207535,15:54:36
23.5891666667,87.2074216667,15:54:37
23.5892033333,87.2073233333,15:54:38
23.589245,87.207225,15:54:39
23.5892816667,87.2071283333,15:54:40
23.5893216667,87.20703,15:54:41
23.5893633333,87.2069333333,15:54:42
23.5894,87.2068183333,15:54:43
23.58944,87.2067216667,15:54:44
23.58948,87.2066233333,15:54:45
23.5895216667,87.20651,15:54:46
23.5895616667,87.2064116667,15:54:47
23.5896033333,87.2062983333,15:54:48
23.5896433333,87.2062,15:54:49
23.589685,87.2060866667,15:54:50
23.5897216667,87.2059883333,15:54:51
23.5897566667,87.2059066667,15:54:52
23.5897816667,87.2058266667,15:54:53
23.5898066667,87.2057616667,15:54:54
23.58983,87.205695,15:54:55
23.5898516667,87.20563,15:54:56
23.5898716667,87.2055816667,15:54:57
23.5898883333,87.20555,15:54:58
23.5899033333,87.2055333333,15:54:59
23.5899083333,87.2055333333,15:55:00
23.5899083333,87.2055333333,15:55:01
23.5899033333,87.2055333333,15:55:02
23.5899033333,87.2055333333,15:55:03
23.5899033333,87.2055333333,15:55:04
23.5899033333,87.2055333333,15:55:05
23.5899083333,87.2055333333,15:55:06
23.5899083333,87.2055333333,15:55:07
23.589925,87.2055333333,15:55:08
23.5899483333,87.2055333333,15:55:09
23.5899733333,87.20555,15:55:10
23.5900016667,87.205565,15:55:11
23.59003,87.2055816667,15:55:12
23.5900583333,87.2055983333,15:55:13
23.5900916667,87.20563,15:55:14
23.5901233333,87.2056466667,15:55:15
23.59016,87.20568,15:55:16
23.5901966667,87.2057116667,15:55:17
23.59023,87.205745,15:55:18
23.5902533333,87.2057766667,15:55:19
23.59029,87.20581,15:55:20
23.5903233333,87.2058416667,15:55:21
23.59036,87.205875,15:55:22
23.5903966667,87.2059233333,15:55:23
23.5904416667,87.2059566667,15:55:24
23.5904783333,87.2059883333,15:55:25
23.590515,87.2060383333,15:55:26
23.5905433333,87.20607,15:55:27
