lat,long,time
23.5740766667,87.2923233333,19:29:18
23.574075,87.29243,19:29:19
23.5740733333,87.292535,19:29:20
23.57407,87.2926383333,19:29:21
23.57407,87.2927383333,19:29:22
23.5740683333,87.292835,19:29:23
23.5740716667,87.292925,19:29:24
23.5740733333,87.2930033333,19:29:25
23.5740683333,87.2930766667,19:29:26
23.5740633333,87.2931533333,19:29:27
23.5740616667,87.2932333333,19:29:28
23.5740633333,87.2933133333,19:29:29
23.5740633333,87.293395,19:29:30
23.5740616667,87.29348,19:29:31
23.57406,87.29357,19:29:32
23.5740583333,87.2936616667,19:29:33
23.57406,87.2937533333,19:29:34
23.57406,87.29385,19:29:35
23.57406,87.2939516667,19:29:36
23.57406,87.2940583333,19:29:37
23.5740616667,87.2941633333,19:29:38
23.574065,87.29427,19:29:39
23.5740666667,87.29437,19:29:40
23.574065,87.29446,19:29:41
23.5740633333,87.29455,19:29:42
23.5740616667,87.294645,19:29:43
23.5740633333,87.2947416667,19:29:44
23.5740716667,87.2948433333,19:29:45
23.5740916667,87.2949466667,19:29:46
23.5741116667,87.2950516667,19:29:47
23.574135,87.2951516667,19:29:48
23.5741616667,87.2952483333,19:29:49
23.57419,87.2953383333,19:29:50
23.57421,87.29542,19:29:51
23.57422,87.29549,19:29:52
23.57422,87.2955533333,19:29:53
23.5742116667,87.29561,19:29:54
23.5742,87.2956566667,19:29:55
23.5741883333,87.2956916667,19:29:56
23.5741783333,87.2957133333,19:29:57
23.5741733333,87.2957216667,19:29:58
23.574175,87.2957216667,19:29:59
23.5741733333,87.2957216667,19:30:00
23.5741683333,87.2957333333,19:30:01
23.5741566667,87.2957566667,19:30:02
23.5741433333,87.295795,19:30:03
23.5741266667,87.295845,19:30:04
23.57411,87.2959016667,19:30:05
23.574095,87.2959633333,19:30:06
23.57408,87.2960283333,19:30:07
23.5740666667,87.2960983333,19:30:08
23.574055,87.2961733333,19:30:09
23.5740466667,87.2962533333,19:30:10
23.5740433333,87.2963433333,19:30:11
23.5740433333,87.29644,19:30:12
23.574045,87.2965383333,19:30:13
23.5740433333,87.29664,19:30:14
23.57404,87.2967433333,19:30:15
23.5740366667,87.2968533333,19:30:16
23.5740366667,87.2969683333,19:30:17
23.574035,87.2970866667,19:30:18
23.5740316667,87.2972066667,19:30:19
23.5740316667,87.2973266667,19:30:20
23.5740316667,87.29745,19:30:21
23.5740316667,87.2975783333,19:30:22
23.57403,87.2977083333,19:30:23
23.5740283333,87.29784,19:30:24
23.5740283333,87.2979716667,19:30:25
23.5740333333,87.2981016667,19:30:26
23.5740366667,87.2982266667,19:30:27
23.5740433333,87.29834,19:30:28
23.5740583333,87.2984416667,19:30:29
23.574075,87.29854,19:30:30
23.574095,87.29863,19:30:31
23.5741216667,87.2987116667,19:30:32
23.574155,87.2987833333,19:30:33
23.5741883333,87.29885,19:30:34
23.57421,87.2989166667,19:30:35
23.5742083333,87.29898,19:30:36
23.57419,87.299035,19:30:37
23.5741633333,87.299085,19:30:38
23.5741383333,87.2991316667,19:30:39
23.5741216667,87.29917,19:30:40
23.5741116667,87.2992,19:30:41
23.5741066667,87.2992166667,19:30:42
23.5741066667,87.29922,19:30:43
23.5741066667,87.29922,19:30:44
23.5741066667,87.2992183333,19:30:45
23.5741033333,87.2992183333,19:30:46
23.5741033333,87.2992183333,19:30:47
23.5741033333,87.2992183333,19:30:48
23.5741033333,87.2992183333,19:30:49
23.5741033333,87.2992183333,19:30:50
23.5741033333,87.2992183333,19:30:51
23.5741033333,87.2992183333,19:30:52
23.5741033333,87.2992183333,19:30:53
23.5741033333,87.2992183333,19:30:54
23.5741033333,87.2992183333,19:30:55
23.5741033333,87.2992183333,19:30:56
23.5741033333,87.2992183333,19:30:57
23.5741033333,87.2992183333,19:30:58
23.5741033333,87.2992183333,19:30:59
23.5741033333,87.2992183333,19:31:00
23.5741033333,87.2992183333,19:31:01
23.5741033333,87.2992183333,19:31:02
23.5741033333,87.2992183333,19:31:03
23.5741033333,87.2992183333,19:31:04
23.5741033333,87.2992183333,19:31:05
23.5741033333,87.29922,19:31:06
23.5741016667,87.2992233333,19:31:07
23.5741016667,87.2992233333,19:31:08
23.5740966667,87.2992416667,19:31:09
23.5740966667,87.299265,19:31:10
23.574095,87.2992916667,19:31:11
23.5740866667,87.2993216667,19:31:12
23.5740783333,87.29936,19:31:13
23.57407,87.299405,19:31:14
23.5740616667,87.299455,19:31:15
23.5740516667,87.29951,19:31:16
23.574045,87.2995716667,19:31:17
23.5740383333,87.2996433333,19:31:18
23.5740333333,87.29972,19:31:19
23.57403,87.2998033333,19:31:20
23.5740266667,87.299885,19:31:21
23.5740233333,87.2999683333,19:31:22
23.5740216667,87.30005,19:31:23
23.5740183333,87.3001333333,19:31:24
23.5740133333,87.300215,19:31:25
23.5740133333,87.3002933333,19:31:26
23.5740166667,87.3003716667,19:31:27
23.57402,87.30045,19:31:28
23.57402,87.3005266667,19:31:29
23.5740216667,87.300595,19:31:30
23.5740183333,87.300655,19:31:31
23.5740166667,87.300695,19:31:32
23.5740166667,87.300725,19:31:33
23.5740166667,87.300755,19:31:34
23.5740216667,87.3007866667,19:31:35
23.57402,87.30083,19:31:36
23.574015,87.300885,19:31:37
23.5740133333,87.3009466667,19:31:38
23.574015,87.3010116667,19:31:39
23.574015,87.3010783333,19:31:40
23.5740183333,87.3011383333,19:31:41
23.5740183333,87.3011966667,19:31:42
23.5740166667,87.3012516667,19:31:43
23.5740183333,87.3013,19:31:44
23.5740183333,87.3013516667,19:31:45
23.5740183333,87.30141,19:31:46
23.57402,87.301475,19:31:47
23.5740216667,87.301545,19:31:48
23.5740266667,87.3016183333,19:31:49
23.5740316667,87.301695,19:31:50
23.5740366667,87.301775,19:31:51
23.574045,87.3018533333,19:31:52
23.5740533333,87.3019316667,19:31:53
23.57406,87.3020066667,19:31:54
23.5740666667,87.3020783333,19:31:55
23.5740716667,87.3021466667,19:31:56
23.57408,87.302215,19:31:57
23.5740916667,87.3022783333,19:31:58
23.57411,87.3023383333,19:31:59
23.5741333333,87.3023916667,19:32:00
23.574155,87.3024433333,19:32:01
23.574175,87.3024916667,19:32:02
23.5741883333,87.3025366667,19:32:03
23.57419,87.3025816667,19:32:04
23.5741783333,87.3026233333,19:32:05
23.574155,87.3026566667,19:32:06
23.5741233333,87.3026816667,19:32:07
23.5740833333,87.3026933333,19:32:08
23.5740383333,87.3026933333,19:32:09
23.5739883333,87.3026866667,19:32:10
23.573935,87.302675,19:32:11
23.57388,87.30266,19:32:12
23.5738216667,87.3026483333,19:32:13
23.5737616667,87.3026383333,19:32:14
23.5737016667,87.3026316667,19:32:15
23.5736383333,87.3026266667,19:32:16
23.573575,87.3026216667,19:32:17
23.5735116667,87.3026133333,19:32:18
23.5734466667,87.30261,19:32:19
23.57338,87.302605,19:32:20
23.57331,87.3026016667,19:32:21
23.5732366667,87.3025966667,19:32:22
23.5731666667,87.302595,19:32:23
23.573095,87.3025933333,19:32:24
23.5730216667,87.30259,19:32:25
23.57295,87.3025883333,19:32:26
23.5728766667,87.3025866667,19:32:27
23.5728083333,87.3025866667,19:32:28
23.57274,87.302585,19:32:29
23.572675,87.3025866667,19:32:30
23.5726116667,87.302585,19:32:31
23.57255,87.302585,19:32:32
23.5724933333,87.3025816667,19:32:33
23.5724366667,87.3025783333,19:32:34
23.5723816667,87.3025766667,19:32:35
23.57233,87.3025783333,19:32:36
23.5722816667,87.3025816667,19:32:37
23.5722383333,87.3025816667,19:32:38
23.5722016667,87.30258,19:32:39
23.5721733333,87.30258,19:32:40
23.5721533333,87.30258,19:32:41
23.5721433333,87.30258,19:32:42
23.57214,87.3025816667,19:32:43
23.5721383333,87.3025833333,19:32:44
23.5721366667,87.302585,19:32:45
23.5721366667,87.302585,19:32:46
23.5721366667,87.302585,19:32:47
23.5721366667,87.302585,19:32:48
23.5721366667,87.302585,19:32:49
23.5721366667,87.302585,19:32:50
23.5721366667,87.302585,19:32:51
23.5721366667,87.302585,19:32:52
23.5721366667,87.302585,19:32:53
23.5721366667,87.302585,19:32:54
23.5721366667,87.302585,19:32:55
23.5721366667,87.302585,19:32:56
23.5721366667,87.302585,19:32:57
23.5721366667,87.302585,19:32:58
23.5721366667,87.302585,19:32:59
23.5721366667,87.302585,19:33:00
23.5721366667,87.302585,19:33:01
23.5721366667,87.302585,19:33:02
23.5721366667,87.302585,19:33:03
23.5721366667,87.302585,19:33:04
23.5721366667,87.302585,19:33:05
23.5721366667,87.302585,19:33:06
23.5721366667,87.302585,19:33:07
23.5721366667,87.302585,19:33:08
23.5721366667,87.302585,19:33:09
23.5721366667,87.302585,19:33:10
23.5721366667,87.302585,19:33:11
23.5721366667,87.302585,19:33:12
23.5721366667,87.302585,19:33:13
23.5721366667,87.302585,19:33:14
