lat,long,time
23.57406,87.29231,13:46:38
23.57406,87.2924133333,13:46:39
23.57406,87.29252,13:46:40
23.5740583333,87.2926266667,13:46:41
23.5740533333,87.292735,13:46:42
23.5740466667,87.2928416667,13:46:43
23.57404,87.2929433333,13:46:44
23.5740383333,87.293045,13:46:45
23.574045,87.2931483333,13:46:46
23.57405,87.2932516667,13:46:47
23.5740566667,87.293355,13:46:48
23.57406,87.2934616667,13:46:49
23.57406,87.29357,13:46:50
23.5740583333,87.2936816667,13:46:51
23.5740583333,87.2937966667,13:46:52
23.5740566667,87.29391,13:46:53
23.574055,87.2940216667,13:46:54
23.5740533333,87.294135,13:46:55
23.5740516667,87.2942516667,13:46:56
23.5740516667,87.29437,13:46:57
23.574055,87.29449,13:46:58
23.57406,87.2946116667,13:46:59
23.57407,87.2947333333,13:47:00
23.5740816667,87.2948533333,13:47:01
23.574095,87.2949683333,13:47:02
23.5741083333,87.295075,13:47:03
23.574125,87.2951733333,13:47:04
23.57415,87.2952633333,13:47:05
23.57418,87.295345,13:47:06
23.5742033333,87.295425,13:47:07
23.5742116667,87.2955033333,13:47:08
23.5742,87.2955833333,13:47:09
23.5741766667,87.2956633333,13:47:10
23.5741466667,87.295745,13:47:11
23.5741233333,87.2958316667,13:47:12
23.5741016667,87.2959216667,13:47:13
23.574085,87.2960166667,13:47:14
23.5740683333,87.2961166667,13:47:15
23.5740583333,87.2962166667,13:47:16
23.5740533333,87.2963216667,13:47:17
23.57405,87.2964283333,13:47:18
23.5740483333,87.2965383333,13:47:19
23.574045,87.2966483333,13:47:20
23.574045,87.296765,13:47:21
23.5740433333,87.2968866667,13:47:22
23.5740433333,87.2970083333,13:47:23
23.5740433333,87.29713,13:47:24
23.5740416667,87.2972516667,13:47:25
23.57404,87.2973733333,13:47:26
23.5740383333,87.2974933333,13:47:27
23.5740366667,87.2976133333,13:47:28
23.5740333333,87.2977333333,13:47:29
23.57403,87.29785,13:47:30
23.5740283333,87.2979666667,13:47:31
23.57403,87.2980816667,13:47:32
23.5740383333,87.2981933333,13:47:33
23.5740533333,87.2983016667,13:47:34
23.5740683333,87.2984033333,13:47:35
23.5740866667,87.2985,13:47:36
23.5741083333,87.2985916667,13:47:37
23.574135,87.298675,13:47:38
23.574165,87.2987533333,13:47:39
23.5741933333,87.2988216667,13:47:40
23.5742066667,87.2988883333,13:47:41
23.574205,87.29895,13:47:42
23.5741866667,87.299005,13:47:43
23.5741633333,87.2990566667,13:47:44
23.5741416667,87.2991016667,13:47:45
23.5741216667,87.2991433333,13:47:46
23.5741083333,87.2991816667,13:47:47
23.5741,87.29921,13:47:48
23.5740983333,87.299225,13:47:49
23.5740983333,87.2992283333,13:47:50
23.5741,87.2992283333,13:47:51
23.5741,87.2992283333,13:47:52
23.5741016667,87.2992283333,13:47:53
23.5741016667,87.2992283333,13:47:54
23.5741016667,87.29923,13:47:55
23.5741016667,87.29923,13:47:56
23.5741016667,87.29923,13:47:57
23.5741016667,87.29923,13:47:58
23.5741016667,87.29923,13:47:59
23.5741016667,87.29923,13:48:00
23.5741016667,87.29923,13:48:01
23.5741016667,87.29923,13:48:02
23.5741,87.299235,13:48:03
23.5741,87.299235,13:48:04
23.5741,87.299235,13:48:05
23.5741,87.299235,13:48:06
23.5741,87.299235,13:48:07
23.5741,87.299235,13:48:08
23.5741,87.2992416667,13:48:09
