lat,long,time,id
23.562979476178047,87.27975579394652,03/31/2016 10:30:44,BusStop_2+
23.562759273880154,87.27929027485966,03/31/2016 10:31:15,BusStop_3+
23.55996469391602,87.27664350737096,03/31/2016 10:33:28,BusStop_4+
23.5582182484748,87.27529818443668,03/31/2016 10:34:34,BusStop_5+
23.557536541536606,87.27483632752033,03/31/2016 10:35:08,BusStop_6+
23.55548547568083,87.27359134679175,03/31/2016 10:36:04,BusStop_7+
23.549972612886776,87.27013516329377,03/31/2016 10:38:46,BusStop_8+
23.550598991178962,87.26863661593168,03/31/2016 10:40:22,BusStop_9+
23.55342650583101,87.26411076540886,03/31/2016 10:41:41,BusStop_10+
23.561346114446888,87.25335548529408,03/31/2016 10:44:02,BusStop_11+
23.563833961590447,87.24988260794028,03/31/2016 10:45:06,BusStop_12+
